id;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;quality
23d32bc4-781a-42f4-a77b-3abbad616b4a;1.9;0.076;11.0;34.0;0.9978;3.51;0.56;5
2a2abc31-668f-4966-9ee2-78cd1c574bea;2.6;0.098;25.0;67.0;0.9968;3.2;0.68;5
285dc1a9-b91e-42a9-8204-cdb2f46b4ef8;2.3;0.092;15.0;54.0;0.997;3.26;0.65;5
f88b0774-fc04-4a52-afba-c825dcf5a427;1.9;0.075;17.0;60.0;0.998;3.16;0.58;6
22252ed8-8eb5-467d-b332-2839378eb97c;1.9;0.076;11.0;34.0;0.9978;3.51;0.56;5
0124166a-34d9-4d32-9b38-cdfdccb69a69;1.8;0.075;13.0;40.0;0.9978;3.51;0.56;5
b35ca230-333e-4f60-ba79-d6d41d6fc206;1.6;0.069;15.0;59.0;0.9964;3.3;0.46;5
0451d3e1-172b-40f1-9ded-8a0709c8fa10;1.2;0.065;15.0;21.0;0.9946;3.39;0.47;7
752787e5-81f6-4be9-80ae-55488c6b8f44;2.0;0.073;9.0;18.0;0.9968;3.36;0.57;7
794ae089-5067-47ac-b8e1-b35a154b2f15;6.1;0.071;17.0;102.0;0.9978;3.35;0.8;5
ebac717f-19b4-4ec5-a215-6fbdacd63ac9;1.8;0.097;15.0;65.0;0.9959;3.28;0.54;5
a732b8bd-dd88-42ef-958b-961ff56a3f57;6.1;0.071;17.0;102.0;0.9978;3.35;0.8;5
5066b68f-63dd-4a4d-a053-224f47a0c2e6;1.6;0.089;16.0;59.0;0.9943;3.58;0.52;5
62abc9bc-039b-4e19-aa14-df6a31ba9321;1.6;0.114;9.0;29.0;0.9974;3.26;1.56;5
180acef4-6e23-4fe1-b1b2-67c8ad00419c;3.8;0.176;52.0;145.0;0.9986;3.16;0.88;5
2052c6c1-42eb-4718-8696-6aca4d4e0ce4;3.9;0.17;51.0;148.0;0.9986;3.17;0.93;5
1cef53c7-5d1e-488f-af2a-11f25180688a;1.8;0.092;35.0;103.0;0.9969;3.3;0.75;7
a975d6dd-5673-4213-8c0a-bbf61eb73e07;1.7;0.368;16.0;56.0;0.9968;3.11;1.28;5
03511f6e-3f5b-43dc-a96e-7223b1cf17ca;4.4;0.086;6.0;29.0;0.9974;3.38;0.5;4
c2842f85-cc29-4ec1-96c9-20a5243a0d79;1.8;0.341;17.0;56.0;0.9969;3.04;1.08;6
8589f4be-0583-4ff7-930c-6b3b14f13c25;1.8;0.077;29.0;60.0;0.9968;3.39;0.53;6
6480ad09-0836-42d2-937c-9aa87ec04c66;2.3;0.082;23.0;71.0;0.9982;3.52;0.65;5
68401966-f5bd-4f84-9ca0-59e1b953e33f;1.6;0.106;10.0;37.0;0.9966;3.17;0.91;5
f65fe541-2d7c-4c79-9c0e-3a04ce0b65d8;2.3;0.084;9.0;67.0;0.9968;3.17;0.53;5
7cd409a0-0178-4b42-990a-bb6f7eaaf4ce;2.4;0.085;21.0;40.0;0.9968;3.43;0.63;6
d12ca46c-e83c-4e6c-9bbe-b0d0ba37dac7;1.4;0.08;11.0;23.0;0.9955;3.34;0.56;5
958c9756-bee7-4116-862e-7003979c8e00;1.8;0.08;4.0;11.0;0.9962;3.28;0.59;5
a7a920fd-1ba0-40a9-82f9-c3ebe8ed078f;1.6;0.106;10.0;37.0;0.9966;3.17;0.91;5
164f3d41-cd64-40ff-b17c-1df53f2b0f5d;1.9;0.08;14.0;35.0;0.9972;3.47;0.55;5
4d05c784-70da-41aa-9a98-a217b863bd8d;2.0;0.082;8.0;16.0;0.9964;3.38;0.59;6
4bfbad3f-337f-4df1-865b-88bcb1eccf13;2.4;0.089;17.0;82.0;0.9958;3.35;0.54;5
36d7e332-abc5-4209-8fb5-a8d455f61c34;2.5;0.105;22.0;37.0;0.9966;3.46;0.57;6
059e2371-bfca-4b0c-83b3-5baa18132a60;2.3;0.083;15.0;113.0;0.9966;3.17;0.66;5
43219ce7-735c-45e8-9440-ffeeca18e88f;10.7;0.073;40.0;83.0;0.9993;3.45;0.52;6
c587a966-25d1-4021-b653-1edce61b645c;1.8;0.103;13.0;50.0;0.9957;3.38;0.55;5
a08b8d9a-6bcc-4411-aac4-a8b5c4c29bd3;5.5;0.086;5.0;18.0;0.9986;3.4;0.55;6
f1414fa1-9cc9-40cc-b2e0-376f21dda0e8;2.4;0.086;3.0;15.0;0.9975;3.42;0.6;6
63b12ec5-e36e-4425-96f8-3b0e1179833a;2.1;0.066;13.0;30.0;0.9968;3.23;0.73;7
bcb06855-e37c-4385-bde3-74b4f1b4fe2c;1.5;0.172;7.0;19.0;0.994;3.5;0.48;4
ccab8a29-425e-4b46-b082-8fca75f12115;5.9;0.074;12.0;87.0;0.9978;3.33;0.83;5
5ea3a26c-ede9-46c0-8dc1-2301ca072a68;5.9;0.074;12.0;87.0;0.9978;3.33;0.83;5
7ac06142-b119-40d5-8400-d23d4640287f;2.8;0.088;17.0;46.0;0.9976;3.26;0.51;4
e3917e39-000b-4f10-aeaa-53abd54dcc04;2.6;0.332;8.0;14.0;0.9968;3.21;0.9;6
ff815e25-2ab4-4cc1-9744-02fda7aaf256;2.2;0.069;9.0;23.0;0.9968;3.3;1.2;5
f7830f4e-8899-4b1e-ab46-e2e843bbe524;1.8;0.05;5.0;11.0;0.9962;3.48;0.52;5
f551c405-eb91-45d4-9dbd-887ca9c18cc6;2.1;0.054;8.0;65.0;0.9934;3.9;0.56;4
04e10496-7b82-49fe-9538-03299e4e3430;2.2;0.114;22.0;114.0;0.997;3.25;0.73;5
47037fef-7aaa-490f-8ed2-66e6bd956d5a;1.6;0.113;12.0;37.0;0.9969;3.25;0.58;5
497c8079-b45b-45ab-b15f-9eebdba9c0e0;1.6;0.066;5.0;12.0;0.9958;3.34;0.56;5
c267c42a-b0f3-4e8f-a149-14088ea28958;1.4;0.074;12.0;96.0;0.9954;3.32;0.58;5
d3ce9eaa-2c0b-4a26-96f8-1f8ad847d494;1.7;0.074;4.0;23.0;0.9971;3.15;0.74;5
2062f390-1f41-40f4-8cec-ec9893568132;2.2;0.069;8.0;15.0;0.9956;3.4;0.63;6
3e47295e-4551-4292-bb3e-9452a9f8bf69;2.1;0.068;6.0;14.0;0.9955;3.39;0.64;6
319dc633-db12-4838-b199-0af128e58c8c;3.0;0.081;30.0;119.0;0.997;3.2;0.56;5
54f50fc4-a7f6-4eb9-aafc-f80645601f3f;2.8;0.11;33.0;73.0;0.9955;3.17;0.63;6
d6b9af25-7bf3-4805-877c-d0e55191a737;3.8;0.084;25.0;45.0;0.9978;3.34;0.53;5
0e38bc8c-9fb6-441c-9069-f479dcaf93ec;3.4;0.07;4.0;10.0;0.9971;3.04;0.63;5
8dddbcd5-ba2c-4a6d-8000-f27ef3c787f5;5.1;0.111;50.0;110.0;0.9983;3.26;0.77;5
8d09bfd6-09dc-4096-9a7b-cb38e3eeafd7;2.3;0.076;17.0;54.0;0.9975;3.43;0.59;5
34ce2214-8451-4c20-81af-ee0022a7e283;2.4;0.074;9.0;46.0;0.9962;3.41;0.54;6
fe26fe98-2b77-4614-8a59-dda3f6fdb09a;2.2;0.079;19.0;52.0;0.998;3.44;0.64;5
c6a63409-2326-4df8-a835-ab92627502cd;1.8;0.115;20.0;112.0;0.9968;3.21;0.71;5
3ceeddbf-d409-4242-8fb6-4c3a4f3e392f;1.9;0.085;12.0;35.0;0.9968;3.38;0.62;7
c93495d0-5cd8-481a-96b3-53798ff61a1b;2.0;0.081;13.0;54.0;0.9966;3.39;0.57;5
bfe2d3cb-5fdb-41b3-9df5-56fdb330b010;4.65;0.086;4.0;11.0;0.9962;3.41;0.39;5
bcf25cf9-6e01-409a-952c-dcebe81b5518;4.65;0.086;4.0;11.0;0.9962;3.41;0.39;5
a78a3676-f677-4016-9acf-2e4293c1ade1;1.5;0.079;11.0;39.0;0.9968;3.42;0.58;5
755ff096-7e9a-40cc-a965-f6e27ec3dd90;1.6;0.076;6.0;15.0;0.9962;3.44;0.58;5
7bde265d-cafe-4f79-b994-d40c3b0eae07;2.0;0.074;27.0;65.0;0.9969;3.28;0.79;5
efe3c9ec-7ba7-4bfe-b17e-499415d162a5;1.9;0.074;8.0;19.0;0.9962;3.34;0.95;6
1c918e7b-6838-41d3-8db4-69bdac788211;1.9;0.076;15.0;27.0;0.9967;3.32;0.54;6
f26ee78d-d0a3-492c-a53e-9dcfc6619aac;2.1;0.088;17.0;96.0;0.9962;3.32;0.48;5
19d055b2-c476-462b-930b-e10e9060ea8c;1.9;0.084;18.0;94.0;0.9961;3.31;0.48;5
f4f20310-88e2-4119-a165-c3f0fac7baf2;2.1;0.084;11.0;43.0;0.9976;3.31;0.53;4
70f51c62-d1c1-4760-9528-7b9e780949c0;2.5;0.094;28.0;83.0;0.9984;3.28;0.82;5
db333d0f-e265-40c6-8847-b7d9533f25f4;2.2;0.093;9.0;42.0;0.9986;3.54;0.66;5
3f62bfa8-4ce7-44d2-9831-0e28597fdff1;2.2;0.093;9.0;42.0;0.9986;3.54;0.66;5
5f746536-2e24-4142-abc4-09b80cf87884;2.4;0.104;14.0;30.0;0.9966;3.52;0.55;6
c077ea68-1af2-407a-85e9-a2b56532ffc8;2.0;0.086;12.0;80.0;0.9958;3.38;0.52;5
06ef8473-e574-4413-89b5-6a9106f78b9e;1.5;0.08;27.0;119.0;0.9972;3.16;1.12;4
b88fdc42-3754-4355-a36f-2028d5985306;1.6;0.069;3.0;15.0;0.9958;3.41;0.56;5
347f2f3c-41dc-4252-b24f-b6bcd0e6098b;1.9;0.464;22.0;67.0;0.9974;3.13;1.28;5
