id;fixed acidity;volatile acidity;citric acid;alcohol
d4c4e294498b4beb8695dd067449f620;7.0;0.27;0.36;8.8
d644d13d42c24e878070a81d1677202d;6.3;0.3;0.34;9.5
e4e715fe3b394e68bb218df402dc62ad;8.1;0.28;0.4;10.1
dbb3b0a01d6a41a8a6a5172e61efce82;7.2;0.23;0.32;9.9
4cbb9efe655c423bad0a43c1c6662901;7.2;0.23;0.32;9.9
eb77945d8f504acaa6d1def81a808763;8.1;0.28;0.4;10.1
f3fbd816fd9541b39fb956c0d6868946;6.2;0.32;0.16;9.6
ed5faad86dea40e78c2df01234d7831f;7.0;0.27;0.36;8.8
176247b452404f1f80cdac7a51c1c359;6.3;0.3;0.34;9.5
a3108e93304d4542870f1ec7c21ad6a8;8.1;0.22;0.43;11.0
54199cf0af454ee5ae436d504c8491dd;8.1;0.27;0.41;12.0
1d334a202e0c4021943455fd7a4fc203;8.6;0.23;0.4;9.7
9d0ef099299142b389ac846ee1dd0cb5;7.9;0.18;0.37;10.8
531dc089aa7e41b6b56ef4f1fb78c576;6.6;0.16;0.4;12.4
a70fd29fef484935977805e6ba484957;8.3;0.42;0.62;9.7
e61ff3cacf884167be928290ddccee93;6.6;0.17;0.38;11.4
ff9bef67d39f46a19008ac9459ba32dc;6.3;0.48;0.04;9.6
483b33e23a7240d7b8fe4e0ce4128f9f;6.2;0.66;0.48;12.8
7ea4a895a10f4bdaabecd0c93a1ebe89;7.4;0.34;0.42;11.3
cd4012cfd84341b493b2ab948e743ee9;6.5;0.31;0.14;9.5
c2da821d8ba347b2bd3088284ee86cab;6.2;0.66;0.48;12.8
5be35b51f3054a988e1506f4cf790c04;6.4;0.31;0.38;11.0
941b8d01ce09499c958b7c168868d094;6.8;0.26;0.42;10.5
6d96931a0eb546e986d762b914c82956;7.6;0.67;0.14;9.3
335ddcd308594e5b977145c859295cae;6.6;0.27;0.41;10.0
fa030a14dd174933b8c7eec38b04a421;7.0;0.25;0.32;10.4
a1fd7a1d4d6b49c4ac69b69b1ef32e8c;6.9;0.24;0.35;10.0
005bc262adb54eb28ffe22e3c61bc72c;7.0;0.28;0.39;10.5
1a61124a26da4e038ab683172519f46d;7.4;0.27;0.48;11.6
79f68542bc16448eb44f179e746a93d2;7.2;0.32;0.36;12.3
417ace00820b4fe9b5ea80b1ae0129e7;8.5;0.24;0.39;10.0
f2626512cecd44f69dbc149a074d6106;8.3;0.14;0.34;10.2
1bebe37c020d487e90d2f63b2bc00623;7.4;0.25;0.36;10.8
975a379b5b0044528444e03911e75977;6.2;0.12;0.34;9.0
48c32955889c4cbb9ddfe2e464b5f042;5.8;0.27;0.2;10.2
f738d92118f84ccc873fe83b5fde663c;7.3;0.28;0.43;12.8
b69a979498ae4f9f934b39240568ea6c;6.5;0.39;0.23;10.0
ace8c8d226f94ba7bc3df5baf1129d68;7.0;0.33;0.32;11.2
7f2016e304884c3d875b2c97ac2a6039;7.3;0.24;0.39;8.6
714169a4c04d4b70b12fd76880ae1b0f;7.3;0.24;0.39;8.6
645b8fa6adac4a82ac2d65079cdcdcca;6.7;0.23;0.39;9.4
6f57342682c2478d9face687981f388b;6.7;0.24;0.39;9.4
a050aab1c4d84d46b836e6f4bbab178f;7.0;0.31;0.26;9.8
7a20453413d64c0cbfdfe34a3d153084;6.6;0.24;0.27;9.5
9b795c4648754ea8aa06ab99994392cf;6.7;0.23;0.26;9.5
30f2bc55376e418c882aa2e5284ef303;7.4;0.18;0.31;10.0
f1741cf2c7894a918585c05b9ea2e010;6.2;0.45;0.26;9.8
681b2605544d4396bff0de18b76eef67;6.2;0.46;0.25;9.8
e530158203024f428a898b34aff1229f;7.0;0.31;0.26;9.8
7c3e09ac5dc742e8a89ace6cab2f28b0;6.9;0.19;0.35;9.8
788def21bae84c67bc9e28e2cd882fec;7.2;0.19;0.31;11.7
d591c8e36ae746b7b6b66d72fe74c284;6.6;0.25;0.29;11.0
b5e4f0470668486a9f69a698246da846;6.2;0.16;0.33;10.9
cf32120dc9ec49babd9e49589a5c61e0;6.4;0.18;0.35;10.9
01f885b4e367476682e8ad16df5b9e97;6.8;0.2;0.59;9.1
ba9948055d024c1f88cbe2399b26e8e4;6.9;0.25;0.35;11.0
e21c0301247f4db2810a6169b7274c86;7.2;0.21;0.34;9.6
5fdf5939b1494ce48b75a16e7ee77abf;6.0;0.19;0.26;8.9
58b318f9972240d7a6217a5c58e72703;6.6;0.38;0.15;10.2
28557756c09747458eb14df35f547243;7.4;0.2;0.36;9.9
13bb5c28abee4d2da4abcfb15b627055;6.8;0.22;0.24;8.6
f4a5f9446197402887ab16fbe333e54a;6.0;0.19;0.26;8.9
6d5122055bfa40d095f2af023e7af183;7.0;0.47;0.07;10.5
3c4c8b8402f04b7b90d2f866ec7086c7;6.6;0.38;0.15;10.2
a07f152de0aa42568b4c13b1365acf32;7.2;0.24;0.27;10.3
9dc6591006d94f75a84e75fd6e15828c;6.2;0.35;0.03;9.1
c860c808f6174a10805ed6dff288ebd0;6.4;0.26;0.24;12.6
9c3cecd6bf8148ae809993f19d589f07;6.7;0.25;0.13;9.8
549fe341240846f6b17176b56d41e3ba;6.7;0.23;0.31;10.7
1a3ccfc12fef459d8cf7a24451c80d1e;7.4;0.24;0.29;9.5
4d4c9f6ac1bc4d65b89d5e637c201948;6.2;0.27;0.43;9.0
1589c8125de34b2392522dd86eeb3fba;6.8;0.3;0.23;9.5
2809449cc4df4ba4b86c3d8ece469065;6.0;0.27;0.28;10.0
363ee4377a184b10ac270f8eb05a1bbd;8.6;0.23;0.46;9.1
3bc004b7e1614b0ca4d78a243eba7334;6.7;0.23;0.31;10.7
cbd52329de30460892573038974e890a;7.4;0.24;0.29;9.5
6d2fb5f8171f4019ab0fe96c91b22e97;7.1;0.18;0.36;12.7
da41778c82e44602b3ed73155e34707e;7.0;0.32;0.34;12.0
842b12a6cbbb4068a9c44e3be123f4f0;7.4;0.18;0.3;9.3
f99d28929bde4f4e93bd82ea3a30b47c;6.7;0.54;0.28;9.0
224af5f115754d70882dfe4d815c0285;6.8;0.22;0.31;10.6
45d563e0dbb8412d83eab6dbcf86cc48;7.1;0.2;0.34;9.2
431363a96d914c8cb67e1010768d1129;7.1;0.34;0.2;10.0
4defe6153a304e0e9feb1b642040a564;7.3;0.22;0.3;9.5
3b2d4d509d5b4fd6a7b315f74bb3b7d6;7.1;0.43;0.61;8.7
724c60e69d6a4f508dc753ee1d35ed54;7.1;0.44;0.62;8.7
34e616731c894390bff20ad955f5e067;7.2;0.39;0.63;8.7
c5c3073bad8441c5bfc92da422259c3e;6.8;0.25;0.31;9.7
31d3b496e4f64cdfa8fecf90dfef4368;7.1;0.43;0.61;8.7
01e46aea616e4f1f99f45153a9aab5a7;7.1;0.44;0.62;8.7
7d3ccf0b0a7c44688b1e06deaba07eca;7.2;0.39;0.63;8.7
51e04388cdc34928b5afe15cc260c391;6.1;0.27;0.43;9.0
bf44491df96b437dafc19d62a055e9ce;6.9;0.24;0.33;12.6
196627a674314a65a5e80d5c3aceff0b;6.9;0.21;0.33;12.6
8c18cf8d37ed446aab9f19ceef3c4194;7.5;0.17;0.32;11.5
710fdaf7f3fa459b9498a453c6b8e292;7.1;0.26;0.29;9.2
69d377b910c04517b91f74c7a0e18198;6.0;0.34;0.66;8.8
c3bb09095c61430d8fde4526e837fd60;8.6;0.265;0.36;11.4
a3a0c3bb25794901bac451f0de4d70db;9.8;0.36;0.46;10.1
03e809aad56445d0aa9cb605972ed3cf;6.0;0.34;0.66;8.8
66a2bee2f3b34811b579c129d0b1dc7b;7.4;0.25;0.37;9.1
8a7d41ea61f6483498f0d50f9798527b;7.1;0.12;0.32;9.4
7fbc2dad260d4074abf22fd4d8657b9c;6.0;0.21;0.24;9.4
c64956ab96574a98ae8533afa0590336;7.5;0.305;0.4;9.0
1ffc9207668d4dfeb229244ce1039266;7.4;0.25;0.37;9.1
fd068630a0a148c196b1c97bba513f78;7.3;0.13;0.32;9.2
5e20e870e3fd44269fc47368723fc7d6;7.1;0.12;0.32;9.4
ca0a745e4a2248af90064032f0e6e1bf;7.1;0.23;0.35;9.1
b49da0f86b3a41358145ca308d049d89;7.1;0.23;0.35;9.1
ac2c4b92b4de49e6a28066820a43df3c;6.9;0.33;0.28;10.3
c0099b07388948dead370bf3b83b66b5;6.5;0.17;0.54;8.8
37235046379e4be29b335695f553735d;7.2;0.27;0.46;8.9
3dbdc08042ec48e79c7b0413f09d6358;7.2;0.31;0.5;9.2
7742c812278946c98fce7ecf0726b006;6.7;0.41;0.34;9.1
9d1a8216329c48d8965ca109d3c99216;6.7;0.41;0.34;9.1
6c71497cdb604336a3a2e33fcb8b6f17;5.5;0.485;0.0;9.7
ababf9eae3c544ceb681a0ce01b9b533;6.0;0.31;0.24;11.3
bb048467684c4abcb0efc65293bb4956;7.0;0.14;0.4;11.8
6b71ced7c9024b95bde8db4014b7e6e6;7.2;0.31;0.5;9.2
5abcfef345e3414eb901558f928ad5f5;7.3;0.32;0.48;9.2
6ecc7d6db5874f9d89b58f9e2ea98d57;5.9;0.36;0.04;10.2
c296278e66a74161a3dbf397e39cf8ae;7.8;0.24;0.32;8.8
d9baf911d7ee4377bc0078745cca370f;7.4;0.16;0.31;9.7
4ddd72b1801748e3aa9158d32f8bd13c;6.9;0.19;0.28;9.1
401ef496c7e14d25b807036780423593;6.4;0.13;0.47;9.8
b4ca713a65144fbda54ceec10f3018f5;6.7;0.19;0.36;11.0
e77c13f52e4246eba4b4f30672c79a8f;7.4;0.39;0.23;10.5
0dc6b6f8d43840a788cf586ffe9a2ba2;6.5;0.24;0.32;9.7
b532c7fcb4924ecaa63aff6a05d1b482;6.1;0.3;0.56;10.9
7f3152a989ab4df88ba08053516e6389;6.1;0.3;0.56;10.9
4a7ec0fb7a064d0ea9e1c5ddb84106ab;5.7;0.26;0.25;10.6
48525bb6f1d24949909c8c5c68b0b105;6.5;0.24;0.32;9.7
