id;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;quality
d4c4e294-498b-4beb-8695-dd067449f620;20.7;0.045;45.0;170.0;1.001;3.0;0.45;6
d644d13d-42c2-4e87-8070-a81d1677202d;1.6;0.049;14.0;132.0;0.994;3.3;0.49;6
e4e715fe-3b39-4e68-bb21-8df402dc62ad;6.9;0.05;30.0;97.0;0.9951;3.26;0.44;6
dbb3b0a0-1d6a-41a8-a6a5-172e61efce82;8.5;0.058;47.0;186.0;0.9956;3.19;0.4;6
4cbb9efe-655c-423b-ad0a-43c1c6662901;8.5;0.058;47.0;186.0;0.9956;3.19;0.4;6
eb77945d-8f50-4aca-a6d1-def81a808763;6.9;0.05;30.0;97.0;0.9951;3.26;0.44;6
f3fbd816-fd95-41b3-9fb9-56c0d6868946;7.0;0.045;30.0;136.0;0.9949;3.18;0.47;6
ed5faad8-6dea-40e7-8c2d-f01234d7831f;20.7;0.045;45.0;170.0;1.001;3.0;0.45;6
176247b4-5240-4f1f-80cd-ac7a51c1c359;1.6;0.049;14.0;132.0;0.994;3.3;0.49;6
a3108e93-304d-4542-870f-1ec7c21ad6a8;1.5;0.044;28.0;129.0;0.9938;3.22;0.45;6
54199cf0-af45-4ee5-ae43-6d504c8491dd;1.45;0.033;11.0;63.0;0.9908;2.99;0.56;5
1d334a20-2e0c-4021-9434-55fd7a4fc203;4.2;0.035;17.0;109.0;0.9947;3.14;0.53;5
9d0ef099-2991-42b3-89ac-846ee1dd0cb5;1.2;0.04;16.0;75.0;0.992;3.18;0.63;5
531dc089-aa7e-41b6-b56e-f4f1fb78c576;1.5;0.044;48.0;143.0;0.9912;3.54;0.52;7
a70fd29f-ef48-4935-9778-05e6ba484957;19.25;0.04;41.0;172.0;1.0002;2.98;0.67;5
e61ff3ca-cf88-4167-be92-8290ddccee93;1.5;0.032;28.0;112.0;0.9914;3.25;0.55;7
ff9bef67-d39f-46a1-9008-ac9459ba32dc;1.1;0.046;30.0;99.0;0.9928;3.24;0.36;6
483b33e2-3a72-40d7-b8fe-4e0ce4128f9f;1.2;0.029;29.0;75.0;0.9892;3.33;0.39;8
7ea4a895-a10f-4bda-abec-d0c93a1ebe89;1.1;0.033;17.0;171.0;0.9917;3.12;0.53;6
cd4012cf-d843-41b4-93b2-ab948e743ee9;7.5;0.044;34.0;133.0;0.9955;3.22;0.5;5
c2da821d-8ba3-47b2-bd30-88284ee86cab;1.2;0.029;29.0;75.0;0.9892;3.33;0.39;8
5be35b51-f305-4a98-8e15-06f4cf790c04;2.9;0.038;19.0;102.0;0.9912;3.17;0.35;7
941b8d01-ce09-499c-958b-7c168868d094;1.7;0.049;41.0;122.0;0.993;3.47;0.48;8
6d96931a-0eb5-46e9-86d7-62b914c82956;1.5;0.074;25.0;168.0;0.9937;3.05;0.51;5
335ddcd3-0859-4e5b-9771-45c859295cae;1.3;0.052;16.0;142.0;0.9951;3.42;0.47;6
fa030a14-dd17-4933-b8c7-eec38b04a421;9.0;0.046;56.0;245.0;0.9955;3.25;0.5;6
a1fd7a1d-4d6b-49c4-ac69-b69b1ef32e8c;1.0;0.052;35.0;146.0;0.993;3.45;0.44;6
005bc262-adb5-4eb2-8ffe-22e3c61bc72c;8.7;0.051;32.0;141.0;0.9961;3.38;0.53;6
1a61124a-26da-4e03-8ab6-83172519f46d;1.1;0.047;17.0;132.0;0.9914;3.19;0.49;6
79f68542-bc16-448e-b44f-179e746a93d2;2.0;0.033;37.0;114.0;0.9906;3.1;0.71;7
417ace00-820b-4fe9-b5ea-80b1ae0129e7;10.4;0.044;20.0;142.0;0.9974;3.2;0.53;6
f2626512-cecd-44f6-9dbc-149a074d6106;1.1;0.042;7.0;47.0;0.9934;3.47;0.4;6
1bebe37c-020d-487e-90d2-f63b2bc00623;2.05;0.05;31.0;100.0;0.992;3.19;0.44;6
975a379b-5b00-4452-8444-e03911e75977;1.5;0.045;43.0;117.0;0.9939;3.42;0.51;6
48c32955-889c-4cbb-9ddf-e2e464b5f042;14.95;0.044;22.0;179.0;0.9962;3.37;0.37;5
f738d921-18f8-4ccc-873f-e83b5fde663c;1.7;0.08;21.0;123.0;0.9905;3.19;0.42;5
b69a9794-98ae-4f9f-934b-39240568ea6c;5.4;0.051;25.0;149.0;0.9934;3.24;0.35;5
ace8c8d2-26f9-4ba7-bc3d-f5baf1129d68;1.2;0.053;38.0;138.0;0.9906;3.13;0.28;6
7f2016e3-0488-4c3d-875b-2c97ac2a6039;17.95;0.057;45.0;149.0;0.9999;3.21;0.36;5
714169a4-c04d-4b70-b12f-d76880ae1b0f;17.95;0.057;45.0;149.0;0.9999;3.21;0.36;5
645b8fa6-adac-4a82-ac2d-65079cdcdcca;2.5;0.172;63.0;158.0;0.9937;3.11;0.36;6
6f573426-82c2-478d-9fac-e687981f388b;2.9;0.173;63.0;157.0;0.9937;3.1;0.34;6
a050aab1-c4d8-4d46-b836-e6f4bbab178f;7.4;0.069;28.0;160.0;0.9954;3.13;0.46;6
7a204534-13d6-4c0c-bfdf-e34a3d153084;1.4;0.057;33.0;152.0;0.9934;3.22;0.56;6
9b795c46-4875-4ea8-aa06-ab99994392cf;1.4;0.06;33.0;154.0;0.9934;3.24;0.56;6
30f2bc55-376e-418c-882a-a2e5284ef303;1.4;0.058;38.0;167.0;0.9931;3.16;0.53;7
f1741cf2-c789-4a91-8585-c05b9ea2e010;4.4;0.063;63.0;206.0;0.994;3.27;0.52;4
681b2605-544d-4396-bff0-de18b76eef67;4.4;0.066;62.0;207.0;0.9939;3.25;0.52;5
e5301582-0302-4f42-8a89-8b34aff1229f;7.4;0.069;28.0;160.0;0.9954;3.13;0.46;6
7c3e09ac-5dc7-42e8-a89a-ce6cab2f28b0;5.0;0.067;32.0;150.0;0.995;3.36;0.48;5
788def21-bae8-4c67-bc9e-28e2cd882fec;1.6;0.062;31.0;173.0;0.9917;3.35;0.44;6
d591c8e3-6ae7-46b7-b6b6-6d72fe74c284;1.1;0.068;39.0;124.0;0.9914;3.34;0.58;7
b5e4f047-0668-486a-9f69-a698246da846;1.1;0.057;21.0;82.0;0.991;3.32;0.46;7
cf32120d-c9ec-49ba-bd9e-49589a5c61e0;1.0;0.045;39.0;108.0;0.9911;3.31;0.35;6
01f885b4-e367-4766-82e8-ad16df5b9e97;0.9;0.147;38.0;132.0;0.993;3.05;0.38;6
ba994805-5d02-4c1f-88cb-e2399b26e8e4;1.3;0.039;29.0;191.0;0.9908;3.13;0.52;6
